ems,EMS快递
minsheng,闽盛快递
xiyoute,希优特快递
xianglong,祥龙运通快递
yishunhang,亿顺航快递
benteng,成都奔腾国际快递
zhongtian,济南中天万运
zhengzhoujianhua,郑州建华快递
feite,飞特物流
huahan,华翰物流
baotongda,宝通达
chukouyi,出口易物流
yumeijie,誉美捷快递
kuanrong,宽容物流
nanbei,南北快递
wanbo,万博快递
suchengzhaipei,速呈宅配
shengbang,晟邦物流
baiqian,百千诚国际物流
gaotie,高铁快递
guanda,冠达快递
haolaiyun,好来运快递
hutong,户通物流
huahang,华航快递
huangmajia,黄马甲快递
ucs,合众速递
jiete,捷特快递
jiuyi,久易快递
kuaiyouda,快优达速递
lanhu,蓝弧快递
menduimen,门对门快递
peixing,陪行物流
riyu,日昱物流
lindao,上海林道货运
shiyun,世运快递
aoshuo,奥硕物流
nsf,新顺丰（NSF）快递
dajin,大金物流
coscon,中国远洋运输(COSCON)
yuhong,宇宏物流
jiayu,佳宇物流
gangkuai,港快速递
kuaitao,快淘速递
sutong,速通物流
anxun,安迅物流
hkpost,香港邮政
jppost,日本邮政
singpost,新加坡邮政
ztwl,中铁物流
ppbyb,贝邮宝
yanwen,燕文物流
feiyang,飞洋快递
zuochuan,佐川急便
hengyu,恒宇运通
mengsu,蒙速快递
wuhuan,五环速递
simai,思迈快递
jiahuier,佳惠尔快递
ande,安得物流
rongqing,荣庆物流
dashun,大顺物流
fangfangda,方方达物流
huiwen,汇文快递
sujie,速捷快递
dhlde,德国DHL快递
baiteng,百腾物流
dcs,DCS快递
dpd,DPD快递
tengxunda,腾迅达物流
pinjun,品骏快递
bse,蓝天快递
ueq,UEQ快递
xru,XRU快递
ycky,远成快运
anpost,爱尔兰邮政
koreapost,韩国邮政
posten,挪威邮政
auspost,澳大利亚邮政
posteit,意大利邮政
nzpost,新西兰邮政
bpost,比利时邮政
depost,德国邮政
correos,西班牙邮政
postnl,荷兰邮政
thailand,泰国邮政
bjems,北京邮政快递
canpost,加拿大邮政
postdanmark,丹麦邮政
ruston,俄速通快递
pochta,俄罗斯邮政
ukrposhta,乌克兰邮政
posmy,马来西亚邮政
postifi,芬兰邮政
indiapost,印度邮政
pocztex,波兰EMS
fanjie,泛捷国际快递
8dt,八达通快递
yikeman,易客满快递
fastgo,速派快递
cnpex,中邮快递
auexpress,澳邮中国快运
pca,PCA Express
adp,韩国ADP快递
a2u,A2U快递
birdex,笨鸟快递
omniva,爱沙尼亚邮政
laposte,突尼斯邮政
swisspost,瑞士邮政
ada,明大快递
stous,美国申通快递
quantium,Quantium
ontrac,OnTrac快递
eltacourier,希腊邮政
quantong,全通快递
tntuk,TNT UK
ajexpress,捷记方舟快递
jcex,佳成国际快递
ctt,葡萄牙邮政
gls,GLS快递
gaticn,GATI快递
southafricanpost,南非邮政
gatikwe,Gati-KWE快递
gsm,GSM快递
iparcel,UPS i-parcel
brazilcorreios,巴西邮政
saudipost,沙特邮政
cambodiapost,柬埔寨邮政_Cambodia Post
vnpost,越南邮政_Vietnam Post
chronopost-portugal,Chronopost Portugal
buylogic,捷买送(Buy Logic)快递
taiwan-post,台湾邮政(Taiwan Post)
speedpost,Speed Post
laopost,老挝邮政
emirates-post,阿联酋邮政(Emirates Post)
cuckoo,Cuckoo布谷鸟快递
dhl-global-mail,DHL eCommerce
asendia-usa,Asendia USA
yamato-japan,日本黑猫宅急便(Yamato Japan)
china-post,China Post
royal-mail,英国皇家邮政(Royal Mail)
parcel-force,Parcel Force
dpd-ireland,DPD Ireland
dpd-de,DPD Germany
czech-post,捷克邮政(Czech Post - ?eská po?ta)
gofly,Go Fly
chronopost-france,Chronopost France
laposte-france,法国邮政(La Poste)
correos-chile,智利邮政(Correos Chile)
jc56,锦程国际物流
posta-romana,罗马尼亚邮政(Po?ta Rom?n?)
belpost,白俄罗斯邮政(Belpost)
ptt-posta,土耳其邮政(PTT Posta)
bgpost,保加利亚邮政(Bulgarian Posts)
iceland-post,冰岛邮政(Iceland Post)
lietuvos-pastas,立陶宛邮政(Lietuvos Pa?tas)
cyprus-post,塞浦路斯邮政(Cyprus Post)
magyar-posta,匈牙利邮政(Magyar Posta)
hrvatska-posta,克罗地亚邮政(Hrvatska Po?ta)
postnord,瑞典邮政(PostNord)
macau-post,澳门邮政
israel-post,以色列邮政(Israel Post)
correo-argentino,阿根廷邮政(Correo Argentino)
nigeria-post,尼日利亚邮政(NiPost)
pakistan-post,巴基斯坦邮政(Pakistan Post)
latvijas-pasts,拉脱维亚邮政(Latvijas Pasts)
q-post,卡塔尔邮政(Q Post)
pos-indonesia-int,印度尼西亚邮政(Pos Indonesia)
afghan-post,阿富汗邮政(Afghan Post)
nova-poshta,Nova Poshta
liban-post,黎巴嫩邮政(Liban Post)
post-serbia,塞尔维亚邮政(PO?TA SRBIJE)
iran-post,伊朗邮政(Iran Post)
slovenska-posta,斯洛伐克邮政(Slovenská po?ta)
tianfeng,天峰国际物流
one-world,One World 物流
yunexpress,云途物流
bangladesh-post,孟加拉国邮政(Bangladesh Post)
uk-mail,UK MAIL
skynet,Sky Net
colissimo,法国Colissimo
phlpost,菲律宾邮政（Philippine Post）
egypt-post,埃及邮政(Egypt Post)
fastway-nz,新西兰Fast Way 快递
fastway-au,澳大利亚Fast Way 快递
courierpost,新西兰CourierPost快递
fastway-ie,爱尔兰Fastway快递
austrian-post,奥地利邮政(Austrian Post)
nengda,能达快递
ruifeng,瑞丰速递
suteng,速腾快递
zongxing,纵行物流
jingshi,京世物流
huacheng,华诚物流
